IDX	SOURCE	TOPDIR	BYTES	LINES	H2	CODE	RELPATH	TITLE
112	vault	ActiveDirectory	2399	62	5	2	ActiveDirectory/AD-Attack/Category-Ten/🔷 Attack #77 — DFSCoerce MS-DFSNM Coercion.md	🔷 Attack #77 — Coercion via DFSCoerce / MS-DFSNM
113	vault	ActiveDirectory	4081	90	5	3	ActiveDirectory/AD-Attack/Category-Ten/🔷 Attack #78 — AD Recycle Bin Object Abuse.md	🔷 Attack #78 — AD Recycle Bin Object Abuse
114	vault	ActiveDirectory	18341	326	7	11	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #19 — GenericAll Abuse.md	🟡 Attack #19 — GenericAll Abuse
115	vault	ActiveDirectory	7185	159	7	7	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #20 — GenericWrite Abuse.md	🟡 Attack #20 — GenericWrite Abuse
116	vault	ActiveDirectory	6586	151	7	9	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #21 — WriteDACL Abuse.md	🟡 Attack #21 — WriteDACL Abuse
117	vault	ActiveDirectory	4570	111	6	4	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #22 — WriteOwner Abuse.md	🟡 Attack #22 — WriteOwner Abuse
118	vault	ActiveDirectory	4523	100	7	3	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #23 — ForceChangePassword Abuse.md	🟡 Attack #23 — ForceChangePassword Abuse
119	vault	ActiveDirectory	3728	94	5	5	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #24 — AllExtendedRights DCSync ACE Abuse.md	🟡 Attack #24 — AllExtendedRights / DCSync ACE Abuse
120	vault	ActiveDirectory	7451	164	7	5	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #25 — Shadow Credentials Attack (msDS-KeyCredentialLink).md	🟡 Attack #25 — Shadow Credentials Attack (msDS-KeyCredentialLink)
121	vault	ActiveDirectory	7879	181	7	8	ActiveDirectory/AD-Attack/Category-Three/🟡 Attack #26 — AdminSDHolder Persistence via ACL.md	🟡 Attack #26 — AdminSDHolder Persistence via ACL
122	vault	ActiveDirectory	21429	413	7	12	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #11 — Golden Ticket Attack.md	🟠 Attack #11 — Golden Ticket Attack
123	vault	ActiveDirectory	20466	430	7	11	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #12 — Silver Ticket Attack.md	🟠 Attack #12 — Silver Ticket Attack
124	vault	ActiveDirectory	7530	172	7	5	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #13 — Diamond Ticket Attack.md	🟠 Attack #13 — Diamond Ticket Attack
125	vault	ActiveDirectory	6762	145	7	4	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #14 — Sapphire Ticket Attack.md	🟠 Attack #14 — Sapphire Ticket Attack
126	vault	ActiveDirectory	9622	188	7	9	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #15 — Unconstrained Delegation Abuse.md	🟠 Attack #15 — Unconstrained Delegation Abuse
127	vault	ActiveDirectory	8889	184	7	6	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #16 — Constrained Delegation Abuse (S4U2Proxy).md	🟠 Attack #16 — Constrained Delegation Abuse (S4U2Proxy)
128	vault	ActiveDirectory	9955	206	7	11	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #17 — Resource-Based Constrained Delegation (RBCD).md	🟠 Attack #17 — Resource-Based Constrained Delegation (RBCD)
129	vault	ActiveDirectory	6073	135	7	2	ActiveDirectory/AD-Attack/Category-Two/🟠 Attack #18 — Bronze Bit Attack (CVE-2020-17049).md	🟠 Attack #18 — Bronze Bit Attack (CVE-2020-17049)
130	vault	ActiveDirectory	36667	992	19	45	ActiveDirectory/AD_Pentest_Tools_Cheat_Sheet.md	Add before touching any target
131	vault	ActiveDirectory	8818	256	10	13	ActiveDirectory/bloodhound-ce-python-cheatsheet.md	BloodHound CE Python Cheat Sheet
132	vault	ActiveDirectory	22611	795	17	45	ActiveDirectory/BloodHound-Python_Cheatsheet.md	🐍 BloodHound-Python Cheatsheet
133	vault	ActiveDirectory	30854	984	17	106	ActiveDirectory/BloodyAD.md	🩸 BloodyAD Cheat Sheet
134	vault	ActiveDirectory	22065	698	10	32	ActiveDirectory/Certipy-ad.md	🔐 Certipy-AD Cheat Sheet
135	vault	ActiveDirectory	8133	243	9	15	ActiveDirectory/faketime-cheatsheet.md	Faketime Cheat Sheet — Beating Kerberos Clock Skew
136	vault	ActiveDirectory	8848	245	9	10	ActiveDirectory/Kerberos/Kerberoasting Cheatsheet.md	🎟️ Kerberoasting Cheatsheet
137	vault	ActiveDirectory	9651	314	9	18	ActiveDirectory/Kerberos/Kerberoasting — Local On-Host Cheatsheet.md	🎟️ Kerberoasting — Local / On-Host Cheatsheet
138	vault	ActiveDirectory	13162	351	10	15	ActiveDirectory/Kerberos/🥈 Silver Ticket Attack Cheatsheet.md	🥈 Silver Ticket Attack Cheatsheet
139	vault	ActiveDirectory	15068	329	10	7	ActiveDirectory/Kerbrute.md	Pre-built binary (Linux)
140	vault	ActiveDirectory	11437	398	12	27	ActiveDirectory/LDAP Search.md	LDAP Enumeration Cheat Sheet for HTB Support
141	vault	ActiveDirectory	15657	568	17	30	ActiveDirectory/ldapdomaindump.md	Complete ldapdomaindump Cheat Sheet for HTB Support
142	vault	ActiveDirectory	25568	811	24	33	ActiveDirectory/Rubeus.md	🎟️ Rubeus — Complete Cheat Sheet
143	vault	ActiveDirectory	18407	672	15	45	ActiveDirectory/SharpHound_Cheatsheet.md	🩸 SharpHound.exe Cheatsheet
